EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
465329675,SERVICE AND LEADERSHIP TRAINING NONPROFIT ORGANIZATION,% VALERIE MIDDLEBROOK,18100 MEYERS RD,DETRIOT,MI,48235-1493,0,3,3,1000,201407,1,15,0,1,1,,0,0,1,0,6,,,,Z99,
300163288,HOME FUR-EVER INC,% MARILYN MCKIDDLE,4370 GILBERT ST,DETRIOT,MI,48210-2427,0,3,3,4000,200310,1,15,0,1,1,201212,2,3,1,0,12,10205,93881,93881,D20,
379585334,SIGMA SIGMA SIGMA INC,,PO BOX 19900,DETRIOT,MI,48219-0900,631,7,9,1000,194306,2,0,36000000,5,1,,0,0,2,0,6,,,,,BETA TAU CHAPTER
383130485,I AM MY BROTHERS KEEPER MINISTRIES,% HENRY P COVINGTON,1435 BRAINARD ST,DETRIOT,MI,48208-2905,0,3,3,7000,199806,1,10,29000000,1,1,,2,4,6,0,12,,,,X20Z,
383374362,MORE EXCELLENT WAY C O G I C INC,% WILLIAM JONES,PO BOX 28310,DETRIOT,MI,48228-0310,0,3,3,7000,199712,1,10,1000000,1,1,,0,0,6,0,12,,,,X20Z,
383505728,LORD IS THERE A CHRISTIAN MINISTRY,% REVEREND MARY HARRIS,18417 PLAINVIEW AVE,DETRIOT,MI,48219-2834,0,3,3,7000,200207,1,10,0,1,1,,0,0,6,0,12,,,,X21,
464151542,WAYNE COUNTY PROGRESS,,930 W FOREST AVE STE 03,DETRIOT,MI,48201-3732,0,4,3,1000,201408,2,0,0,1,1,,0,0,1,0,12,,,,S99,
10559608,ALLIED MEDIA PROJECTS INC,% MIKE HEDOW,4126 3RD ST,DETROIT,MI,48201-1612,0,3,3,1000,200207,1,15,0,1,1,201312,4,5,1,0,12,335754,829969,826780,A02,
10573569,LAWRENCE P DOSS SCHOLARSHIP FOUNDATION,% LAWRENCE P DOSS SCHOLARSHIP FOUND,19391 SUFFOLK DR,DETROIT,MI,48203-1469,0,3,3,1000,200204,1,15,0,1,1,201410,0,0,2,0,10,0,0,0,B82,
10585170,SARDIS MISSIONARY BAPTIST CHURCH AC ADEMIC ASSISTANCE CENTER,% PAMELA L CRUMP,10405 E WARREN AVE,DETROIT,MI,48214-1567,0,3,3,2000,200206,1,15,0,1,1,201112,0,0,2,0,12,0,0,0,B90,
10611644,HOPE COMMUNITY CHURCH,,14456 E JEFFERSON AVE,DETROIT,MI,48215-2934,2650,3,9,7000,197507,1,10,1000000,5,1,201012,0,0,6,0,12,,,,,HOPE COMMUNITY COVENANT CHURCH OF D
10649096,SECOND HOLY TEMPLE CHURCH OF GOD IN CHRIST,% PAUL DEAN GILBERT,7427 E 7 MILE RD,DETROIT,MI,48234-3177,0,3,3,7000,200308,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10650207,NEW MOUNT OF OLIVES MINISTRIES CHURCH OF GOD IN CHRIST,% ELD BARRY L PELT SR,14101 W MCNICHOLS RD,DETROIT,MI,48235-3903,1969,3,9,7000,196901,1,10,1000000,5,1,,0,0,6,0,12,,,,,
10658866,WINGS AS EAGLES DELIVERANCE MINISTRY,% KENNARD PETTAWAY,8315 MARCUS ST,DETROIT,MI,48213-2112,0,3,3,7000,200306,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10661169,CHRISTIAN FAITH MINISTRIES,% IDA CARPENTER,21241 FENKELL ST,DETROIT,MI,48223-1646,0,3,3,7000,201312,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10681682,MT TRANSFIGURATION MISSIONARY BAPTIST CHURCH,% PASTOR DANNY K ROBINSON,16171 GLASTONBURY RD,DETROIT,MI,48219-4106,0,3,3,1000,200210,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10684233,DETROIT GRADUATE CHAPTER OF GROOVE PHI GROOVE SFI,% DAVID WILLIAMS,PO BOX 21702,DETROIT,MI,48221-0702,0,3,3,2100,200708,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,B84,
10740709,GATEWAY COMMUNITY HEALTH,,1333 BREWERY PARK BLVD STE 100,DETROIT,MI,48207-4544,0,4,3,1000,201405,1,0,0,1,1,201309,8,9,1,0,9,34000106,120325495,120325495,F19,
10762343,WATER ACCESS VOLUNTEER EFFORT FUND,% CARLA WALKER-MILLER,2990 W GRAND BLVD STE 310,DETROIT,MI,48202-3041,0,3,3,1000,200307,1,15,0,1,1,201312,3,3,1,0,12,30092,81000,44107,P60,WAVE FUND
10764818,GREAT LAKES AFRICAN AMERICAN QUILTERS NETWORK,% THEADRA FLEMING,PO BOX 21081,DETROIT,MI,48221-0081,0,3,3,2000,200406,1,16,0,1,1,201405,0,0,2,0,5,0,0,0,A20,GLAAQN
