EIN,name
465329675,SERVICE AND LEADERSHIP TRAINING NONPROFIT ORGANIZATION
300163288,HOME FUR-EVER INC
379585334,SIGMA SIGMA SIGMA INC
383130485,I AM MY BROTHERS KEEPER MINISTRIES
383374362,MORE EXCELLENT WAY C O G I C INC
383505728,LORD IS THERE A CHRISTIAN MINISTRY
464151542,WAYNE COUNTY PROGRESS
10559608,ALLIED MEDIA PROJECTS INC
10573569,LAWRENCE P DOSS SCHOLARSHIP FOUNDATION
10585170,SARDIS MISSIONARY BAPTIST CHURCH AC ADEMIC ASSISTANCE CENTER
10611644,HOPE COMMUNITY CHURCH
10649096,SECOND HOLY TEMPLE CHURCH OF GOD IN CHRIST
10650207,NEW MOUNT OF OLIVES MINISTRIES CHURCH OF GOD IN CHRIST
10658866,WINGS AS EAGLES DELIVERANCE MINISTRY
10661169,CHRISTIAN FAITH MINISTRIES
10681682,MT TRANSFIGURATION MISSIONARY BAPTIST CHURCH
10684233,DETROIT GRADUATE CHAPTER OF GROOVE PHI GROOVE SFI
10740709,GATEWAY COMMUNITY HEALTH
10762343,WATER ACCESS VOLUNTEER EFFORT FUND
10764818,GREAT LAKES AFRICAN AMERICAN QUILTERS NETWORK
10769107,PLEASANT GROVE BAPTIST CHURCH COMMUNITY DEVELOPMENT CORPORATION
10790394,FOCUS HOPE REVITALIZATION
10828186,FRESH START MINISTRIES
10885325,HARRIET TUBMAN CENTER
10897469,SERVICE EMPLOYEES INTERNATIONAL UNION
10931020,HANDYMAN MINISTRIES
10959104,ESAN ASSOCIATION OF MICHIGAN USA
16209149,KENNETH E LINDSAY FOUNDATION TR
16217452,ELLIOT HEALTH SYSTEM PROF & GEN LIAB INS TRUST
20606865,CAREFIRST COMMUNITY HEALTH SERVICES
20610352,GREATER MT TABOR NON PROFIT
20647494,THE YOUTH CONNECTION INC
20648628,NEXTENERGY CENTER
20682814,DETROIT HOUSING GROUP
20692465,CHRISTIAN NEW LIFE OUTREACH MINISTRIES
20700841,FAITH FAMILY OUTREACH SERVICES
20702899,CHURCH WITH A VISION
20717047,DETROIT CHRISTIAN ASSEMBLY
20720180,COLLINS MEMORIAL COMMUNITY SERVICE INC
